level,level_name,field_of_study,academic_field,field_of_study_cleaned,academic_field_cleaned
bachelor,bachelor,"BA, Economics & Commerce",economics,ba economics commerce,economics
bachelor,bachelor,"BA, Economics, Political Science, Psychology",psychology,ba economics political science psychology,psychology
bachelor,bachelor,"BA, English",languages and literature,ba english,languages and literature
bachelor,bachelor,"BA, English and History",languages and literature,ba english and history,languages and literature
bachelor,bachelor,"BA, English and World Literature; Music",languages and literature,ba english and world literature music,languages and literature
bachelor,bachelor,"BA, English Language and Literature/Letters",languages and literature,ba english language and literatureletters,languages and literature
bachelor,bachelor,"BA, English Literature / Journalism and Mass Media",journalism,ba english literature journalism and mass media,journalism
bachelor,bachelor,"BA, International Relations",international relations,ba international relations,international relations
bachelor,bachelor,"BA, International Studies -- European Studies",,ba international studies european studies,european studies
bachelor,bachelor,"BA, Political Science",political science,ba political science,political science
bachelor,bachelor,"BA, Social Sciences - Business and Management",,ba social sciences business and management,business
bachelor,bachelor hons,BA(HONS) in Business Administration,,bahons in business administration,business administration
bachelor,bachelor hons,BA(Hons) International Business,,bahons international business,business
bachelor,bachelor hons,"BA(Hons) Product Design, Industrial and Product Design",,bahons product design industrial and product design,industrial
bachelor,bachelor hons,"BA(Hons), Advertising Design",,bahons advertising design,advertising
bachelor,bachelor,"Bachelor (2nd Upper), Communication Studies",,bachelor nd upper communication studies,communication studies
bachelor,bachelor,Bachelor (Honours) in Business Management with Communications,business management,bachelor honours in business management with communications,business management
bachelor,bachelor,"Bachelor Degree in Business Administration , Human Resource Management ",,bachelor degree in business administration human resource management,business administration
bachelor,bachelor,Bachelor Degree in BusinessIT & Management,,bachelor degree in businessit management,business
bachelor,bachelor,Bachelor Degree in Mass Communication,,bachelor degree in mass communication,mass communication
bachelor,bachelor,"Bachelor Degree, Business Management and Accountancy",business management,bachelor degree business management and accountancy,business management
bachelor,bachelor,"Bachelor Degree, Business Studies (Marketing)",,bachelor degree business studies marketing,marketing
bachelor,bachelor,"Bachelor degree, Public Relations/Image Management",,bachelor degree public relationsimage management,management
bachelor,bachelor,"Bachelor Degree; Graduate Diploma, Computer Science Engineering",computer science,bachelor degree graduate diploma computer science engineering,computer science
bachelor,bachelor,"Bachelor in Arts and Science, Specialisation in Communications Studies, Television production ; Minor in Political Science",performing arts,bachelor in arts and science specialisation in communications studies television production minor in political science,performing arts
bachelor,Bachelor,"Bachelor in Business Administration (B.B.A.), International Marketing (TVU)",,bachelor in business administration bba international marketing tvu,marketing
bachelor,bachelor,"Bachelor in Business Adminstration, Business Administration",business administration,bachelor in business adminstration business administration,business administration
bachelor,bachelor,"Bachelor in Business Management, Operations Management (Analytics) and Strategic Management",business management,bachelor in business management operations management analytics and strategic management,business management
bachelor,bachelor,Bachelor in Communication and Media Studies,media studies,bachelor in communication and media studies,media studies
bachelor,bachelor,"Bachelor in Film and Tv, Bachelor in Film and Tv",,bachelor in film and tv bachelor in film and tv,other
bachelor,bachelor,"Bachelor in Graphic Design , Graphic Design",,bachelor in graphic design graphic design,graphic design
bachelor,bachelor,Bachelor in Mechanical Engineering,,bachelor in mechanical engineering,other
bachelor,bachelor,"Bachelor in Occupational Safety & Health with honor, safety",,bachelor in occupational safety health with honor safety,other
bachelor,bachelor,"Bachelor in Science (Honours) Management, Marketing/Marketing Management, General",,bachelor in science honours management marketingmarketing management general,marketing
bachelor,bachelor,"Bachelor in Technology, Information Technology",,bachelor in technology information technology,information technology
bachelor,bachelor,Bachelor of Accountancy and Business (Marketing),accounting,bachelor of accountancy and business marketing,accounting
bachelor,bachelor,"Bachelor of Accountancy with Honours, Accountancy ",accounting,bachelor of accountancy with honours accountancy,accounting
bachelor,bachelor,"Bachelor of Accountancy, 2nd Major in Analytics (Accounting)",accounting,bachelor of accountancy nd major in analytics accounting,accounting
bachelor,bachelor,"Bachelor of Accountancy, Accounting",accounting,bachelor of accountancy accounting,accounting
bachelor,bachelor,"Bachelor of Accountancy, Accounting and Finance",accounting,bachelor of accountancy accounting and finance,accounting
bachelor,bachelor,"Bachelor of Agriculture, Agronomy",,bachelor of agriculture agronomy,agriculture
bachelor,bachelor,"Bachelor of Applied Engineering, Civil Engineering",civil engineering,bachelor of applied engineering civil engineering,civil engineering
bachelor,bachelor,"Bachelor of Applied Science - BASc, Computer and Information Sciences and Support Services",,bachelor of applied science basc computer and information sciences and support services,information
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Business Administration and Management, General",,bachelor of applied science basc business administration and management general,business administration
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Business, Economics and Social Sciences",,bachelor of applied science basc business economics and social sciences,business
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Communication Studies",,bachelor of applied science basc communication studies,communication studies
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Computer Engineering",,bachelor of applied science basc computer engineering,other
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Electrical and Electronics Engineering",,bachelor of applied science basc electrical and electronics engineering,electronic
bachelor,bachelor,"Bachelor of Applied Science (BASc), Business, Management, Marketing, and Related Support Services",,bachelor of applied science basc business management marketing and related support services,business management
bachelor,bachelor,Bachelor of Arts - BA,,bachelor of arts ba,other
bachelor,bachelor,"Bachelor of Arts - BA (Honours), Political Science ",political science,bachelor of arts ba honours political science,political science
bachelor,bachelor,"Bachelor of Arts - BA (Hons), International/Global Studies",,bachelor of arts ba hons internationalglobal studies,other
bachelor,bachelor,"Bachelor of Arts - BA, Art History, French",,bachelor of arts ba art history french,history
bachelor,bachelor,"Bachelor of Arts - BA, Business Administration and Management, General",,bachelor of arts ba business administration and management general,business administration
bachelor,bachelor,"Bachelor of Arts - BA, Business Administration, Management and Operations",,bachelor of arts ba business administration management and operations,business administration
